id	userid	hits	z	trials	created_at	updated_at
301	bdccdd5b23	1	-0.79	10	2023-05-26 17:16:41	2023-05-26 17:16:41
302	bdccdd5b23	1	-0.79	10	2023-05-26 17:17:08	2023-05-26 17:17:08
303	bdccdd5b23	3	0.79	10	2023-05-26 17:17:32	2023-05-26 17:17:32
304	d40dfacc09	0	-1.58	10	2023-05-26 20:32:34	2023-05-26 20:32:34
305	fff8c30e58	3	0.79	10	2023-05-26 20:46:54	2023-05-26 20:46:54
306	ff92c2f177	2	0.00	10	2023-05-27 14:28:41	2023-05-27 14:28:41
307	77c18aa0ae	3	0.79	10	2023-05-27 17:11:20	2023-05-27 17:11:20
308	77c18aa0ae	2	0.00	10	2023-05-27 17:11:58	2023-05-27 17:11:58
309	77c18aa0ae	3	0.79	10	2023-05-27 17:12:22	2023-05-27 17:12:22
310	77c18aa0ae	3	0.79	10	2023-05-27 17:13:00	2023-05-27 17:13:00
311	77c18aa0ae	1	-0.79	10	2023-05-27 17:13:19	2023-05-27 17:13:19
312	77c18aa0ae	4	1.58	10	2023-05-27 17:13:59	2023-05-27 17:13:59
313	77c18aa0ae	1	-0.79	10	2023-05-27 17:36:19	2023-05-27 17:36:19
314	77c18aa0ae	2	0.00	10	2023-05-27 17:36:47	2023-05-27 17:36:47
315	77c18aa0ae	3	0.79	10	2023-05-27 17:37:12	2023-05-27 17:37:12
316	77c18aa0ae	3	0.79	10	2023-05-27 17:37:35	2023-05-27 17:37:35
