id	userid	odds	hits	z	trials	created_at	updated_at
239	551ffb1b22	4.1074553824682	6	1.12	20	2023-05-26 16:21:55	2023-05-26 16:21:55
240	bdccdd5b23	0.6990877008995	4	0.00	20	2023-05-26 17:33:51	2023-05-26 17:33:51
241	bdccdd5b23	0.25958023968945	3	-0.56	20	2023-05-26 17:37:43	2023-05-26 17:37:43
242	d40dfacc09	0.1	7	1.68	20	2023-05-26 20:22:44	2023-05-26 20:22:44
243	d40dfacc09	0.1	9	2.80	20	2023-05-26 20:24:49	2023-05-26 20:24:49
244	fff8c30e58	0.011663688215736	1	-1.68	20	2023-05-26 20:50:21	2023-05-26 20:50:21
245	fff8c30e58	0.1	7	1.68	20	2023-05-26 20:50:45	2023-05-26 20:50:45
246	d40dfacc09	0.25958023968945	3	-0.56	20	2023-05-27 02:44:58	2023-05-27 02:44:58
247	d40dfacc09	0.1	7	1.68	20	2023-05-27 02:46:32	2023-05-27 02:46:32
248	63c692191a	0.011663688215737	1	-1.68	20	2023-05-27 05:41:56	2023-05-27 05:41:56
249	ff92c2f177	1.7001358506854	5	0.56	20	2023-05-27 14:24:16	2023-05-27 14:24:16
250	77c18aa0ae	1.7001358506854	5	0.56	20	2023-05-27 16:34:08	2023-05-27 16:34:08
251	77c18aa0ae	0.6990877008995	4	0.00	20	2023-05-27 16:51:21	2023-05-27 16:51:21
252	77c18aa0ae	0.25958023968945	3	-0.56	20	2023-05-27 16:53:35	2023-05-27 16:53:35
253	77c18aa0ae	0.074316130151885	2	-1.12	20	2023-05-27 17:24:03	2023-05-27 17:24:03
254	77c18aa0ae	0.6990877008995	4	0.00	20	2023-05-27 17:25:07	2023-05-27 17:25:07
255	77c18aa0ae	0.1	7	1.68	20	2023-05-27 17:26:40	2023-05-27 17:26:40
256	77c18aa0ae	0.25958023968945	3	-0.56	20	2023-05-27 17:27:53	2023-05-27 17:27:53
257	77c18aa0ae	0.011663688215736	1	-1.68	20	2023-05-27 17:29:23	2023-05-27 17:29:23
